id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3185, 'Elsternwick')","(-37.88, 145.0)",Elsternwick,3185,325,14.3 km,4115,41,51,TRUE,14.3 km,10.5 km,27,31
"(3128, 'Box Hill Central')","(-37.82, 145.12)",Box Hill Central,3128,350,14.3 km,283,51,33,TRUE,14.3 km,16.6 km,30,37
"(3130, 'Blackburn')","(-37.82, 145.15)",Blackburn,3130,315,14.3 km,383,42,37,TRUE,14.3 km,19.3 km,31,37
"(3195, 'Waterways')","(-38.03, 145.1)",Waterways,3195,310,14.4 km,300,63,51,TRUE,14.4 km,35.9 km,41,91
"(3128, 'Box Hill')","(-37.82, 145.12)",Box Hill,3128,240,14.5 km,704,53,35,TRUE,14.5 km,16.8 km,30,35
"(3152, 'Knox City Centre')","(-37.87, 145.24)",Knox City Centre,3152,338,14.5 km,1473,61,57,TRUE,14.5 km,25.3 km,39,104
"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,14.6 km,784,54,43,TRUE,14.6 km,12.7 km,29,33
"(3190, 'Highett')","(-37.95, 145.03)",Highett,3190,340,14.8 km,618,51,43,TRUE,14.8 km,19.4 km,36,44
"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,14.9 km,723,53,45,TRUE,14.9 km,12.8 km,29,34
"(3156, 'Mountain Gate')","(-37.88, 145.3)",Mountain Gate,3156,290,14.9 km,705,50,49,TRUE,14.9 km,40.6 km,40,82
"(3124, 'Hartwell')","(-37.82, 145.06)",Hartwell,3124,300,15.2 km,706,57,49,TRUE,15.2 km,13.8 km,22,41
"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146,300,15.2 km,370,52,54,TRUE,15.2 km,11.2 km,17,34
"(3156, 'Ferntree Gully')","(-37.88, 145.3)",Ferntree Gully,3156,348,15.4 km,790,44,43,TRUE,15.4 km,38.7 km,39,70
"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143,330,15.5 km,2932,51,45,TRUE,15.5 km,8.0 km,21,24
"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143,300,15.5 km,1326,51,45,TRUE,15.5 km,8.0 km,21,24
"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,15.7 km,903,52,57,TRUE,15.7 km,6.7 km,19,33
"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,15.7 km,412.5140736,52,57,TRUE,15.7 km,6.7 km,19,33
"(3132, 'Mitcham')","(-37.82, 145.19)",Mitcham,3132,335,15.8 km,282,60,63,TRUE,15.8 km,24.1 km,36,55
"(3173, 'Keysborough')","(-37.99, 145.15)",Keysborough,3173,355,16.2 km,1312,55,63,TRUE,16.2 km,32.9 km,37,73
"(3175, 'Dandenong')","(-38.03, 145.18)",Dandenong,3175,270,16.2 km,534,41,44,TRUE,16.2 km,32.5 km,36,66
"(3175, 'Dandenong East')","(-38.03, 145.18)",Dandenong East,3175,270,16.2 km,1316,41,44,TRUE,16.2 km,32.5 km,36,66
"(3175, 'Dandenong Plaza')","(-38.03, 145.18)",Dandenong Plaza,3175,250,16.3 km,2371,41,42,TRUE,16.3 km,32.4 km,35,66
"(3195, 'Aspendale Gardens')","(-38.03, 145.1)",Aspendale Gardens,3195,340,16.5 km,273,70,57,TRUE,16.5 km,31.5 km,44,80
"(3195, 'Braeside')","(-38.03, 145.1)",Braeside,3195,340,16.6 km,273,78,117,TRUE,16.6 km,31.1 km,40,94
"(8390, 'Melbourne')","(-38.37, 144.77)",Melbourne,8390,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8394, 'Melbourne')","(-38.37, 144.77)",Melbourne,8394,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8396, 'Melbourne')","(-38.37, 144.77)",Melbourne,8396,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8388, 'Melbourne')","(-38.37, 144.77)",Melbourne,8388,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8393, 'Melbourne')","(-38.37, 144.77)",Melbourne,8393,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8386, 'Melbourne')","(-38.37, 144.77)",Melbourne,8386,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8383, 'Melbourne')","(-38.37, 144.77)",Melbourne,8383,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8205, 'Melbourne')","(-38.37, 144.77)",Melbourne,8205,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8120, 'Melbourne')","(-38.37, 144.77)",Melbourne,8120,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8111, 'Melbourne')","(-38.37, 144.77)",Melbourne,8111,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8108, 'Melbourne')","(-38.37, 144.77)",Melbourne,8108,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8107, 'Melbourne')","(-38.37, 144.77)",Melbourne,8107,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8103, 'Melbourne')","(-38.37, 144.77)",Melbourne,8103,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8102, 'Melbourne')","(-38.37, 144.77)",Melbourne,8102,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8071, 'Melbourne')","(-38.37, 144.77)",Melbourne,8071,330,16.6 km,3084,41,41,TRUE,16.6 km,1.7 km,8,11
"(8070, 'Melbourne')","(-38.37, 144.77)",Melbourne,8070,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(8069, 'Melbourne')","(-38.37, 144.77)",Melbourne,8069,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(8066, 'Melbourne')","(-38.37, 144.77)",Melbourne,8066,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(8061, 'Melbourne')","(-38.37, 144.77)",Melbourne,8061,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(8051, 'Melbourne')","(-38.37, 144.77)",Melbourne,8051,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(8060, 'Melbourne')","(-38.37, 144.77)",Melbourne,8060,360,16.6 km,412.5140736,41,41,TRUE,16.6 km,1.7 km,8,11
"(3001, 'Melbourne')","(-38.37, 144.77)",Melbourne,3001,300,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(8001, 'Melbourne')","(-38.37, 144.77)",Melbourne,8001,280,16.6 km,224,41,41,TRUE,16.6 km,1.7 km,8,11
"(8399, 'Melbourne')","(-38.37, 144.77)",Melbourne,8399,330,16.6 km,14270,41,41,TRUE,16.6 km,1.7 km,8,11
"(3124, 'Camberwell West')","(-37.82, 145.06)",Camberwell West,3124,300,16.7 km,706,58,63,TRUE,16.7 km,11.6 km,18,49
"(3129, 'Box Hill North')","(-37.8, 145.13)",Box Hill North,3129,350,16.7 km,343,75,56,TRUE,16.7 km,18.7 km,27,46
