id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3127, 'Surrey Hills')","(-37.82, 145.1)",Surrey Hills,3127,240,19.6 km,704,62,68,TRUE,19.6 km,14.5 km,28,36
"(3109, 'Doncaster East')","(-37.81, 145.19)",Doncaster East,3109,340,19.6 km,447,57,61,TRUE,19.6 km,20.4 km,30,50
"(3166, 'Oakleigh East')","(-37.9, 145.08)",Oakleigh East,3166,280,2.3 km,992,15,12,TRUE,2.3 km,20.3 km,27,52
"(3168, 'Notting Hill')","(-37.93, 145.12)",Notting Hill,3168,280,2.3 km,427,11,10,TRUE,2.3 km,23.8 km,26,73
"(3183, 'Balaclava')","(-37.87, 145.0)",Balaclava,3183,325,20.0 km,2289,49,50,TRUE,20.0 km,8.4 km,24,23
"(3109, 'Doncaster Heights')","(-37.81, 145.19)",Doncaster Heights,3109,340,20.1 km,447,60,63,TRUE,20.1 km,20.2 km,30,51
"(3802, 'Endeavour Hills')","(-37.98, 145.25)",Endeavour Hills,3802,288,20.2 km,109,68,81,TRUE,20.2 km,38.8 km,36,91
"(3156, 'Upper Ferntree Gully')","(-37.88, 145.3)",Upper Ferntree Gully,3156,290,20.3 km,250,58,70,TRUE,20.3 km,38.4 km,45,64
"(3182, 'St Kilda West')","(-37.87, 144.98)",St Kilda West,3182,348,20.4 km,508,77,91,TRUE,20.4 km,6.6 km,21,32
"(3156, 'Lysterfield')","(-37.88, 145.3)",Lysterfield,3156,348,20.6 km,1445,66,393,TRUE,20.6 km,42.1 km,38,83
"(3195, 'Parkdale')","(-38.03, 145.1)",Parkdale,3195,310,20.7 km,78,57,49,TRUE,20.7 km,25.2 km,41,51
"(3152, 'Wantirna')","(-37.87, 145.24)",Wantirna,3152,355,21.0 km,2173,66,64,TRUE,21.0 km,30.9 km,36,63
"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,21.3 km,1022,57,80,TRUE,21.3 km,1.9 km,8,11
