,id,geo,suburb,postcode,rent,La Trobe University - Bundoora,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
54,"(3052, 'Parkville')","(-37.8, 144.96)",Parkville,3052,255,8.289232488,759,78,63,TRUE,19.3 km,4.2 km,18,27
55,"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,8.315549275,14270,54,57,TRUE,18.7 km,3 m,1,1
56,"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,8.780184105,903,73,90,TRUE,21.2 km,6.7 km,19,33
57,"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,8.780184105,412.5140736,73,90,TRUE,21.2 km,6.7 km,19,33
58,"(3181, 'Windsor')","(-37.85, 144.99)",Windsor,3181,270,8.780184105,209,73,82,TRUE,21.1 km,6.9 km,20,22
59,"(3353, 'Ballarat')","(-37.78, 144.84)",Ballarat,3353,288,8.937365154,112,145,151,TRUE,133 km,115 km,91,104
60,"(3039, 'Moonee Ponds')","(-37.77, 144.92)",Moonee Ponds,3039,330,9.277800904,1294,78,76,TRUE,22.3 km,7.2 km,25,36
61,"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,9.394195266,1022,54,72,TRUE,17.1 km,1.9 km,8,11
62,"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,9.664234051,1620,44,56,TRUE,15.0 km,3.5 km,14,25
63,"(3065, 'Fitzroy')","(-37.8, 144.98)",Fitzroy,3065,380,9.664234051,1917,50,54,TRUE,15.7 km,3.1 km,15,21
64,"(3066, 'Collingwood')","(-37.8, 144.98)",Collingwood,3066,350,9.664234051,1620,44,56,TRUE,15.0 km,3.5 km,14,25
66,"(3142, 'Toorak')","(-37.84, 145.0)",Toorak,3142,300,9.722651849,22,77,103,TRUE,21.8 km,7.9 km,17,43
67,"(3183, 'Balaclava')","(-37.87, 145.0)",Balaclava,3183,325,9.909657222,2289,75,94,TRUE,22.8 km,8.4 km,24,23
68,"(3183, 'St Kilda East')","(-37.87, 145.0)",St Kilda East,3183,325,9.909657222,2289,82,92,TRUE,23.3 km,8.3 km,23,42
69,"(3028, 'Seabrook')","(-37.87, 144.78)",Seabrook,3028,250,9.909657222,172,119,123,TRUE,43.9 km,28.0 km,32,58
70,"(3028, 'Laverton')","(-37.87, 144.78)",Laverton,3028,250,9.909657222,561,96,100,TRUE,41.2 km,23.1 km,31,37
71,"(3028, 'Altona Meadows')","(-37.87, 144.78)",Altona Meadows,3028,250,9.909657222,993,133,118,TRUE,45.1 km,25.4 km,31,53
72,"(3020, 'Glengala')","(-37.78, 144.82)",Glengala,3020,233,9.919478035,2403,109,98,TRUE,34.2 km,15.8 km,32,43
73,"(3020, 'Sunshine')","(-37.78, 144.82)",Sunshine,3020,233,9.919478035,2403,112,98,TRUE,34.0 km,14.3 km,34,39
74,"(3020, 'Sunshine West')","(-37.78, 144.82)",Sunshine West,3020,233,9.919478035,1126,107,104,TRUE,34.7 km,16.0 km,32,42
75,"(3020, 'Sunshine North')","(-37.78, 144.82)",Sunshine North,3020,233,9.919478035,1423,107,94,TRUE,32.1 km,18.3 km,34,56
76,"(3020, 'Albion')","(-37.78, 144.82)",Albion,3020,233,9.919478035,502,98,95,TRUE,34.7 km,15.7 km,31,41
77,"(3055, 'Moreland West')","(-37.77, 144.94)",Moreland West,3055,290,9.920969047,1041,57,51,TRUE,15.2 km,8.9 km,23,42
78,"(3055, 'Brunswick West')","(-37.77, 144.94)",Brunswick West,3055,290,9.920969047,1041,65,56,TRUE,15.9 km,8.1 km,24,41
80,"(3055, 'Moonee Vale')","(-37.77, 144.94)",Moonee Vale,3055,290,9.920969047,1041,73,64,TRUE,20.5 km,10.7 km,29,49
81,"(3040, 'Essendon')","(-37.76, 144.9)",Essendon,3040,300,10.04604721,1375,69,60,TRUE,20.5 km,8.9 km,26,38
82,"(3040, 'Essendon West')","(-37.76, 144.9)",Essendon West,3040,300,10.04604721,31,79,69,TRUE,23.7 km,11.8 km,32,54
83,"(3060, 'Fawkner')","(-37.76, 144.9)",Fawkner,3060,285,10.04604721,831,62,69,TRUE,13.8 km,17.5 km,35,55
84,"(3060, 'Fawkner East')","(-37.76, 144.9)",Fawkner East,3060,285,10.04604721,831,62,69,TRUE,13.8 km,17.5 km,35,55
85,"(3060, 'Fawkner North')","(-37.76, 144.9)",Fawkner North,3060,285,10.04604721,831,62,69,TRUE,13.8 km,17.5 km,35,55
86,"(3040, 'Aberfeldie')","(-37.76, 144.9)",Aberfeldie,3040,300,10.04604721,133,84,73,TRUE,23.5 km,11.6 km,30,59
87,"(3185, 'Elsternwick')","(-37.88, 145.0)",Elsternwick,3185,325,10.21620397,4115,88,110,TRUE,24.7 km,10.5 km,27,31
