,id,geo,suburb,postcode,rent,RMIT University - Hamilton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3300, 'Byaduk North')","(-37.88, 141.96)",Byaduk North,3300,288,0,22,16,44,TRUE,5.4 km,371 km,220,375
1,"(3300, 'Hamilton')","(-37.88, 141.96)",Hamilton,3300,288,0,22,14,43,TRUE,5.4 km,369 km,210,368
