,id,geo,suburb,postcode,rent,La Trobe University - City,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
106,"(3016, 'Williamstown North')","(-37.86, 144.9)",Williamstown North,3016,350,8.288614514,149,46,56,TRUE,17.1 km,17.0 km,29,50
107,"(3016, 'Williamstown')","(-37.86, 144.9)",Williamstown,3016,350,8.288614514,1023,38,59,TRUE,14.8 km,14.8 km,26,38
108,"(3040, 'Essendon West')","(-37.76, 144.9)",Essendon West,3040,300,8.29170337,31,41,51,TRUE,12.9 km,11.8 km,32,54
109,"(3040, 'Aberfeldie')","(-37.76, 144.9)",Aberfeldie,3040,300,8.29170337,133,49,62,TRUE,12.7 km,11.6 km,30,59
110,"(3040, 'Essendon')","(-37.76, 144.9)",Essendon,3040,300,8.29170337,1375,38,36,TRUE,9.1 km,8.9 km,26,38
111,"(3060, 'Fawkner')","(-37.76, 144.9)",Fawkner,3060,285,8.29170337,831,55,59,TRUE,19.7 km,17.5 km,36,55
112,"(3060, 'Fawkner East')","(-37.76, 144.9)",Fawkner East,3060,285,8.29170337,831,55,59,TRUE,19.7 km,17.5 km,36,55
114,"(3060, 'Fawkner North')","(-37.76, 144.9)",Fawkner North,3060,285,8.29170337,831,55,59,TRUE,19.7 km,17.5 km,36,55
115,"(8873, 'Port Melbourne')","(-37.85, 144.89)",Port Melbourne,8873,400,8.315549275,14270,23,20,TRUE,5.6 km,5.9 km,20,27
116,"(3015, 'Spotswood')","(-37.84, 144.88)",Spotswood,3015,290,8.579887661,235,28,27,TRUE,11.4 km,11.3 km,23,28
117,"(3015, 'South Kingsville')","(-37.84, 144.88)",South Kingsville,3015,290,8.579887661,104,47,46,TRUE,15.7 km,16.2 km,24,48
119,"(3015, 'Newport')","(-37.84, 144.88)",Newport,3015,290,8.579887661,619,31,30,TRUE,12.7 km,12.6 km,23,30
120,"(3058, 'Moreland')","(-37.73, 144.96)",Moreland,3058,310,8.938926495,1869,42,38,TRUE,9.6 km,9.5 km,30,40
121,"(3058, 'Merlynston')","(-37.73, 144.96)",Merlynston,3058,310,8.938926495,1869,36,37,TRUE,14.6 km,13.8 km,33,34
