,id,geo,suburb,postcode,rent,Federation University - Horsham,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3400, 'Horsham West')","(-36.71, 142.2)",Horsham West,3400.0,288.0,0.0,31.0,19,19,True,1.5 km,306 km,208,282
1,"(3400, 'Horsham')","(-36.71, 142.2)",Horsham,3400.0,288.0,0.0,152.0,19,19,True,1.5 km,306 km,208,282
