id,geo,suburb,postcode,rent,RMIT University - Brunswick,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,5.669305842,1620,40,42,TRUE,7.3 km,3.5 km,14,25
"(3078, 'Fairfield')","(-37.78, 145.03)",Fairfield,3078,295,8.217385046,521,37,31,TRUE,7.3 km,8.6 km,23,27
"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,6.153157113,14270,24,21,TRUE,7.5 km,3 m,1,1
"(3058, 'Coburg North')","(-37.73, 144.96)",Coburg North,3058,250,3.770988726,738,22,23,TRUE,7.6 km,10.0 km,31,42
"(3041, 'Strathmore')","(-37.74, 144.91)",Strathmore,3041,300,3.450043147,338,28,24,TRUE,7.7 km,12.2 km,24,58
"(3003, 'West Melbourne')","(-37.81, 144.94)",West Melbourne,3003,310,5.559754186,1454,59,59,TRUE,7.7 km,5.0 km,20,39
"(3072, 'Preston South')","(-37.74, 145.03)",Preston South,3072,320,8.219444377,3936,36,37,TRUE,7.7 km,11.8 km,29,41
"(3032, 'Maribyrnong')","(-37.78, 144.92)",Maribyrnong,3032,330,2.834800411,1316,49,44,TRUE,7.8 km,10.7 km,26,39
"(3072, 'Regent West')","(-37.74, 145.03)",Regent West,3072,320,8.219444377,3936,40,39,TRUE,7.8 km,11.5 km,30,47
"(3046, 'Hadfield')","(-37.7, 144.92)",Hadfield,3046,285,6.899662653,428,35,36,TRUE,8.0 km,18.1 km,31,47
"(3072, 'Preston')","(-37.74, 145.03)",Preston,3072,320,8.219444377,3936,39,38,TRUE,8.2 km,10.7 km,29,53
"(8002, 'East Melbourne')","(-38.11, 145.15)",East Melbourne,8002,280,43.05600219,50,32,35,TRUE,8.2 km,2.8 km,10,17
"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,6.898450611,1398,43,49,TRUE,8.3 km,4.7 km,17,24
"(3011, 'Footscray')","(-37.8, 144.9)",Footscray,3011,290,5.669305842,2797,28,30,TRUE,8.4 km,7.7 km,24,33
"(3078, 'Alphington')","(-37.78, 145.03)",Alphington,3078,295,8.217385046,229,39,34,TRUE,8.5 km,10.1 km,22,32
"(3058, 'Merlynston')","(-37.73, 144.96)",Merlynston,3058,310,3.770988726,1869,14,14,TRUE,8.6 km,13.8 km,33,34
"(3008, 'Docklands')","(-37.81, 144.95)",Docklands,3008,330,5.628777994,3084,59,0,FALSE,8.8 km,2.9 km,16,20
"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,7.988486153,1022,37,34,TRUE,9.0 km,1.9 km,8,11
"(3012, 'Maidstone')","(-37.81, 144.85)",Maidstone,3012,260,9.667737322,944,42,49,TRUE,9.2 km,12.4 km,27,51
"(3046, 'Oak Park')","(-37.7, 144.92)",Oak Park,3046,285,6.899662653,191,39,53,TRUE,9.3 km,14.4 km,26,38
"(3006, 'South Wharf')","(-37.82, 144.97)",South Wharf,3006,330,7.173645011,178,41,42,TRUE,9.7 km,1.9 km,17,16
